Year,UNIT_MEASURE,Аймақ,Жынысы,Өңірлер,Value
2011,пайыз,,,,50.6
2011,пайыз,қала,,,60.4
2011,пайыз,ауыл,,,38.6
2011,пайыз,,,Ақмола,53.03666306196898
2011,пайыз,,,Ақтөбе,58.92850532674924
2011,пайыз,,,Алматы,47.62188460809093
2011,пайыз,,,Атырау,62.4203731258884
2011,пайыз,,,Батыс Қазақстан,59.9
2011,пайыз,,,Жамбыл,33.94220855041687
2011,пайыз,,,Қарағанды,56.25476449021433
2011,пайыз,,,Қостанай,48.97294426634738
2011,пайыз,,,Қызылорда,36.28273873157986
2011,пайыз,,,Маңғыстау,50.73488145241394
2011,пайыз,,,Оңтүстік Қазақстан,44.01688913992825
2011,пайыз,,,Павлодар,60.81099609136436
2011,пайыз,,,Солтүстік Қазақстан,50.7838705654966
2011,пайыз,,,Шығыс Қазақстан,44.875610801261054
2011,пайыз,,,Нұр-Сұлтан қаласы,54.313469785419386
2011,пайыз,,,Алматы қаласы,63.683357235146765
2012,пайыз,,,,61.90662401932264
2012,пайыз,қала,,,73.9
2012,пайыз,ауыл,,,47.2
2012,пайыз,,,Ақмола,70.25494713852555
2012,пайыз,,,Ақтөбе,72.90223910400472
2012,пайыз,,,Алматы,51.84361247256734
2012,пайыз,,,Атырау,73.68455305533746
2012,пайыз,,,Батыс Қазақстан,66.55557347937993
2012,пайыз,,,Жамбыл,52.826835391720095
2012,пайыз,,,Қарағанды,64.93976060118634
2012,пайыз,,,Қостанай,75.62765366457826
2012,пайыз,,,Қызылорда,62.55566923996232
2012,пайыз,,,Маңғыстау,55.18785900474189
2012,пайыз,,,Оңтүстік Қазақстан,48.49678736871316
2012,пайыз,,,Павлодар,65.24373555488417
2012,пайыз,,,Солтүстік Қазақстан,70.44639043135521
2012,пайыз,,,Шығыс Қазақстан,66.38400412010571
2012,пайыз,,,Нұр-Сұлтан қаласы,64.3023319712125
2012,пайыз,,,Алматы қаласы,68.24678063201104
2013,пайыз,,,,63.3
2013,пайыз,қала,,,73.2
2013,пайыз,ауыл,,,51.2
2013,пайыз,,,Ақмола,71.3
2013,пайыз,,,Ақтөбе,73.3
2013,пайыз,,,Алматы,52.4
2013,пайыз,,,Атырау,74.0
2013,пайыз,,,Батыс Қазақстан,67.2
2013,пайыз,,,Жамбыл,53.9
2013,пайыз,,,Қарағанды,65.1
2013,пайыз,,,Қостанай,76.5
2013,пайыз,,,Қызылорда,67.0
2013,пайыз,,,Маңғыстау,70.0
2013,пайыз,,,Оңтүстік Қазақстан,48.7
2013,пайыз,,,Павлодар,68.6
2013,пайыз,,,Солтүстік Қазақстан,70.6
2013,пайыз,,,Шығыс Қазақстан,67.0
2013,пайыз,,,Нұр-Сұлтан қаласы,64.5
2013,пайыз,,,Алматы қаласы,71.0
2014,пайыз,,,,63.9
2014,пайыз,қала,,,72.6
2014,пайыз,ауыл,,,52.7
2014,пайыз,,,Ақмола,72.0
2014,пайыз,,,Ақтөбе,73.0
2014,пайыз,,,Алматы,54.5
2014,пайыз,,,Атырау,74.3
2014,пайыз,,,Батыс Қазақстан,66.3
2014,пайыз,,,Жамбыл,54.4
2014,пайыз,,,Қарағанды,66.0
2014,пайыз,,,Қостанай,77.0
2014,пайыз,,,Қызылорда,67.2
2014,пайыз,,,Маңғыстау,70.3
2014,пайыз,,,Оңтүстік Қазақстан,48.6
2014,пайыз,,,Павлодар,69.3
2014,пайыз,,,Солтүстік Қазақстан,70.3
2014,пайыз,,,Шығыс Қазақстан,67.1
2014,пайыз,,,Нұр-Сұлтан қаласы,66.2
2014,пайыз,,,Алматы қаласы,71.0
2015,пайыз,,,,72.8660129673921
2015,пайыз,қала,,,76.4
2015,пайыз,ауыл,,,68.3
2015,пайыз,,ерлер,,73.0
2015,пайыз,,әйелдер,,72.7
2015,пайыз,,,Ақмола,60.87720508246625
2015,пайыз,,,Ақтөбе,66.44451330706717
2015,пайыз,,,Алматы,81.16569074759364
2015,пайыз,,,Атырау,67.18603978001076
2015,пайыз,,,Батыс Қазақстан,88.96409263894446
2015,пайыз,,,Жамбыл,61.63541033184858
2015,пайыз,,,Қарағанды,68.57217287058481
2015,пайыз,,,Қостанай,76.95433833512575
2015,пайыз,,,Қызылорда,70.15136835083149
2015,пайыз,,,Маңғыстау,66.28088901165027
2015,пайыз,,,Оңтүстік Қазақстан,68.3891287407668
2015,пайыз,,,Павлодар,81.15185175517124
2015,пайыз,,,Солтүстік Қазақстан,67.76427730694405
2015,пайыз,,,Шығыс Қазақстан,68.09526354822975
2015,пайыз,,,Нұр-Сұлтан қаласы,86.85082232392773
2015,пайыз,,,Алматы қаласы,81.91506991196272
2016,пайыз,,,,76.8
2016,пайыз,қала,,,81.3
2016,пайыз,ауыл,,,70.9
2016,пайыз,,ерлер,,77.5
2016,пайыз,,әйелдер,,76.2
2016,пайыз,,,Ақмола,70.0
2016,пайыз,,,Ақтөбе,77.7
2016,пайыз,,,Алматы,81.4
2016,пайыз,,,Атырау,72.9
2016,пайыз,,,Батыс Қазақстан,67.4
2016,пайыз,,,Жамбыл,68.7
2016,пайыз,,,Қарағанды,72.5
2016,пайыз,,,Қостанай,83.7
2016,пайыз,,,Қызылорда,76.7
2016,пайыз,,,Маңғыстау,72.5
2016,пайыз,,,Оңтүстік Қазақстан,75.4
2016,пайыз,,,Павлодар,80.3
2016,пайыз,,,Солтүстік Қазақстан,74.8
2016,пайыз,,,Шығыс Қазақстан,74.5
2016,пайыз,,,Нұр-Сұлтан қаласы,85.3
2016,пайыз,,,Алматы қаласы,84.3
2017,пайыз,,,,78.8
2017,пайыз,қала,,,82.5
2017,пайыз,ауыл,,,73.9
2017,пайыз,,ерлер,,79.0
2017,пайыз,,әйелдер,,78.7
2017,пайыз,,,Ақмола,70.8
2017,пайыз,,,Ақтөбе,80.8
2017,пайыз,,,Алматы,84.5
2017,пайыз,,,Атырау,75.1
2017,пайыз,,,Батыс Қазақстан,72.7
2017,пайыз,,,Жамбыл,70.1
2017,пайыз,,,Қарағанды,72.8
2017,пайыз,,,Қостанай,85.5
2017,пайыз,,,Қызылорда,76.2
2017,пайыз,,,Маңғыстау,72.6
2017,пайыз,,,Оңтүстік Қазақстан,79.0
2017,пайыз,,,Павлодар,82.1
2017,пайыз,,,Солтүстік Қазақстан,75.7
2017,пайыз,,,Шығыс Қазақстан,77.4
2017,пайыз,,,Нұр-Сұлтан қаласы,88.0
2017,пайыз,,,Алматы қаласы,84.1
2018,пайыз,,,,81.3
2018,пайыз,қала,,,84.1
2018,пайыз,ауыл,,,77.5
2018,пайыз,,ерлер,,81.6
2018,пайыз,,әйелдер,,81.1
2018,пайыз,,,Ақмола,73.8
2018,пайыз,,,Ақтөбе,81.1
2018,пайыз,,,Алматы,85.3
2018,пайыз,,,Атырау,78.1
2018,пайыз,,,Батыс Қазақстан,76.9
2018,пайыз,,,Жамбыл,80.9
2018,пайыз,,,Қарағанды,73.9
2018,пайыз,,,Қостанай,85.7
2018,пайыз,,,Қызылорда,77.7
2018,пайыз,,,Маңғыстау,78.9
2018,пайыз,,,Павлодар,83.3
2018,пайыз,,,Солтүстік Қазақстан,77.0
2018,пайыз,,,Түркістан,84.8
2018,пайыз,,,Шығыс Қазақстан,79.2
2018,пайыз,,,Нұр-Сұлтан қаласы,88.1
2018,пайыз,,,Алматы қаласы,84.3
2018,пайыз,,,Шымкент қаласы,80.0
2019,пайыз,,,,84.2
2019,пайыз,қала,,,86.3
2019,пайыз,ауыл,,,81.4
2019,пайыз,,ерлер,,84.3
2019,пайыз,,әйелдер,,84.2
2019,пайыз,,,Ақмола,79.4
2019,пайыз,,,Ақтөбе,85.7
2019,пайыз,,,Алматы,85.4
2019,пайыз,,,Атырау,80.7
2019,пайыз,,,Батыс Қазақстан,80.4
2019,пайыз,,,Жамбыл,81.6
2019,пайыз,,,Қарағанды,80.5
2019,пайыз,,,Қостанай,86.9
2019,пайыз,,,Қызылорда,77.9
2019,пайыз,,,Маңғыстау,82.3
2019,пайыз,,,Павлодар,85.7
2019,пайыз,,,Солтүстік Қазақстан,81.2
2019,пайыз,,,Түркістан,89.6
2019,пайыз,,,Шығыс Қазақстан,81.7
2019,пайыз,,,Нұр-Сұлтан қаласы,91.7
2019,пайыз,,,Алматы қаласы,87.7
2019,пайыз,,,Шымкент қаласы,80.1
