Year,UNIT_MEASURE,Өңірлер,Value
2010,пайыз,,19.7
2010,пайыз,Ақмола,8.8
2010,пайыз,Алматы,32.8
2010,пайыз,Жамбыл,4.1
2010,пайыз,Қарағанды,29.7
2010,пайыз,Павлодар,14.3
2010,пайыз,Солтүстік Қазақстан,1.6
2010,пайыз,Түркістан,11.0
2010,пайыз,Шығыс Қазақстан,82.2
2011,пайыз,,19.6
2011,пайыз,Ақмола,8.4
2011,пайыз,Алматы,32.6
2011,пайыз,Жамбыл,4.1
2011,пайыз,Қарағанды,28.7
2011,пайыз,Павлодар,14.3
2011,пайыз,Солтүстік Қазақстан,1.6
2011,пайыз,Түркістан,11.0
2011,пайыз,Шығыс Қазақстан,82.2
2012,пайыз,,19.7
2012,пайыз,Ақмола,7.2
2012,пайыз,Алматы,32.6
2012,пайыз,Жамбыл,4.1
2012,пайыз,Қарағанды,25.2
2012,пайыз,Павлодар,14.3
2012,пайыз,Солтүстік Қазақстан,1.6
2012,пайыз,Түркістан,12.6
2012,пайыз,Шығыс Қазақстан,82.1
2013,пайыз,,19.4
2013,пайыз,Ақмола,7.2
2013,пайыз,Алматы,32.6
2013,пайыз,Жамбыл,4.1
2013,пайыз,Қарағанды,25.2
2013,пайыз,Павлодар,14.3
2013,пайыз,Солтүстік Қазақстан,1.6
2013,пайыз,Түркістан,9.7
2013,пайыз,Шығыс Қазақстан,82.1
2014,пайыз,,19.4
2014,пайыз,Ақмола,7.1
2014,пайыз,Алматы,32.6
2014,пайыз,Жамбыл,4.1
2014,пайыз,Қарағанды,25.2
2014,пайыз,Павлодар,14.3
2014,пайыз,Солтүстік Қазақстан,1.6
2014,пайыз,Түркістан,12.6
2014,пайыз,Шығыс Қазақстан,82.2
2015,пайыз,,19.4
2015,пайыз,Ақмола,7.0
2015,пайыз,Алматы,32.6
2015,пайыз,Жамбыл,4.1
2015,пайыз,Қарағанды,25.0
2015,пайыз,Павлодар,14.3
2015,пайыз,Солтүстік Қазақстан,1.6
2015,пайыз,Түркістан,12.6
2015,пайыз,Шығыс Қазақстан,82.2
2016,пайыз,,193.0
2016,пайыз,Ақмола,7.0
2016,пайыз,Алматы,32.0
2016,пайыз,Жамбыл,4.1
2016,пайыз,Қарағанды,25.0
2016,пайыз,Павлодар,14.3
2016,пайыз,Солтүстік Қазақстан,1.6
2016,пайыз,Түркістан,12.6
2016,пайыз,Шығыс Қазақстан,82.2
2017,пайыз,,19.1
2017,пайыз,Ақмола,9.4
2017,пайыз,Алматы,32.0
2017,пайыз,Жамбыл,4.9
2017,пайыз,Қарағанды,29.1
2017,пайыз,Павлодар,14.3
2017,пайыз,Солтүстік Қазақстан,1.6
2017,пайыз,Түркістан,12.6
2017,пайыз,Шығыс Қазақстан,80.6
2018,пайыз,,19.8
2018,пайыз,Ақмола,9.4
2018,пайыз,Алматы,31.5
2018,пайыз,Жамбыл,4.9
2018,пайыз,Қарағанды,29.1
2018,пайыз,Павлодар,14.3
2018,пайыз,Солтүстік Қазақстан,1.6
2018,пайыз,Түркістан,12.6
2018,пайыз,Шығыс Қазақстан,81.4
2019,пайыз,,20.0
2019,пайыз,Ақмола,9.4
2019,пайыз,Алматы,31.5
2019,пайыз,Жамбыл,7.3
2019,пайыз,Қарағанды,29.1
2019,пайыз,Павлодар,14.3
2019,пайыз,Солтүстік Қазақстан,1.6
2019,пайыз,Түркістан,12.6
2019,пайыз,Шығыс Қазақстан,82.7
