Year,UNIT_MEASURE,REF_AREA,GeoCode,Value
2016,PT,,,100.0
2017,PT,,,100.0
2018,PT,,,100.0
2016,PT,KZAKM,KZ03,100.0
2017,PT,KZAKM,KZ03,100.0
2018,PT,KZAKM,KZ03,100.0
2016,PT,KZAKT,KZ04,100.0
2017,PT,KZAKT,KZ04,100.0
2018,PT,KZAKT,KZ04,100.0
2016,PT,KZALM,KZ01,100.0
2017,PT,KZALM,KZ01,100.0
2018,PT,KZALM,KZ01,100.0
2016,PT,KZATY,KZ06,100.0
2017,PT,KZATY,KZ06,100.0
2018,PT,KZATY,KZ06,100.0
2016,PT,KZZAP,KZ07,100.0
2017,PT,KZZAP,KZ07,100.0
2018,PT,KZZAP,KZ07,100.0
2016,PT,KZZHA,KZ17,100.0
2017,PT,KZZHA,KZ17,100.0
2018,PT,KZZHA,KZ17,100.0
2016,PT,KZKAR,KZ12,100.0
2017,PT,KZKAR,KZ12,100.0
2018,PT,KZKAR,KZ12,100.0
2016,PT,KZKUS,KZ13,100.0
2017,PT,KZKUS,KZ13,100.0
2018,PT,KZKUS,KZ13,100.0
2016,PT,KZKZY,KZ14,100.0
2017,PT,KZKZY,KZ14,100.0
2018,PT,KZKZY,KZ14,100.0
2016,PT,KZMAN,KZ09,100.0
2017,PT,KZMAN,KZ09,100.0
2018,PT,KZMAN,KZ09,100.0
2016,PT,KZPAV,KZ11,100.0
2017,PT,KZPAV,KZ11,100.0
2018,PT,KZPAV,KZ11,100.0
2016,PT,KZSEV,KZ16,100.0
2017,PT,KZSEV,KZ16,100.0
2018,PT,KZSEV,KZ16,100.0
2016,PT,KZYUZ,KZ10,100.0
2017,PT,KZYUZ,KZ10,100.0
2018,PT,KZYUZ,KZ10,100.0
2016,PT,KZVOS,KZ15,100.0
2017,PT,KZVOS,KZ15,100.0
2018,PT,KZVOS,KZ15,100.0
2016,PT,KZNS,KZ05,100.0
2017,PT,KZNS,KZ05,100.0
2018,PT,KZNS,KZ05,100.0
2016,PT,KZALA,KZ02,100.0
2017,PT,KZALA,KZ02,100.0
2018,PT,KZALA,KZ02,100.0
2016,PT,KZSHY,KZ18,100.0
2017,PT,KZSHY,KZ18,100.0
2018,PT,KZSHY,KZ18,100.0
