Year,UNIT_MEASURE,REF_AREA,Value
2016,PT,KZAKM,100.0
2016,PT,KZAKT,100.0
2016,PT,KZALM,100.0
2016,PT,KZATY,100.0
2016,PT,KZZAP,100.0
2016,PT,KZZHA,100.0
2016,PT,KZKAR,100.0
2016,PT,KZKUS,100.0
2016,PT,KZKZY,100.0
2016,PT,KZMAN,100.0
2016,PT,KZONT,100.0
2016,PT,KZPAV,100.0
2016,PT,KZSEV,100.0
2016,PT,KZVOS,100.0
2016,PT,KZNS,100.0
2016,PT,KZALA,100.0
2017,PT,KZAKM,100.0
2017,PT,KZAKT,100.0
2017,PT,KZALM,100.0
2017,PT,KZATY,100.0
2017,PT,KZZAP,100.0
2017,PT,KZZHA,100.0
2017,PT,KZKAR,100.0
2017,PT,KZKUS,100.0
2017,PT,KZKZY,100.0
2017,PT,KZMAN,100.0
2017,PT,KZONT,100.0
2017,PT,KZPAV,100.0
2017,PT,KZSEV,100.0
2017,PT,KZVOS,100.0
2017,PT,KZNS,100.0
2017,PT,KZALA,100.0
2018,PT,KZAKM,100.0
2018,PT,KZAKT,100.0
2018,PT,KZALM,100.0
2018,PT,KZATY,100.0
2018,PT,KZZAP,100.0
2018,PT,KZZHA,100.0
2018,PT,KZKAR,100.0
2018,PT,KZKUS,100.0
2018,PT,KZKZY,100.0
2018,PT,KZMAN,100.0
2018,PT,KZPAV,100.0
2018,PT,KZSEV,100.0
2018,PT,KZYUZ,100.0
2018,PT,KZVOS,100.0
2018,PT,KZNS,100.0
2018,PT,KZALA,100.0
2018,PT,KZSHY,100.0
2019,PT,KZAKM,100.0
2019,PT,KZAKT,100.0
2019,PT,KZALM,100.0
2019,PT,KZATY,100.0
2019,PT,KZZAP,100.0
2019,PT,KZZHA,100.0
2019,PT,KZKAR,100.0
2019,PT,KZKUS,100.0
2019,PT,KZKZY,100.0
2019,PT,KZMAN,100.0
2019,PT,KZPAV,100.0
2019,PT,KZSEV,100.0
2019,PT,KZYUZ,100.0
2019,PT,KZVOS,100.0
2019,PT,KZNS,100.0
2019,PT,KZALA,100.0
2019,PT,KZSHY,100.0
